,Date,STD_A,STD_B,STD_C,STD_D,STD_E,STD_F,STD_G,STD_Sum,STD_Total
0,2022-01-03,85371.37803399259,16700.33861394231,1354.2864667768686,2241.1508155159645,16992.46478211484,4240.613610273939,194725.32172359657,321625.5540462131,230868.531206575
1,2022-01-04,92013.49015440574,19061.987666721474,3007.8154890562887,1289.2839210183827,23963.530509818804,3569.6350069980936,194111.36526394825,337017.10801196704,242245.46322473895
2,2022-01-05,93783.32649470952,16130.048691972155,2284.7539604954327,2403.311995958925,24296.427785973363,3608.8848906864314,191750.6461660955,334257.3999858913,222386.0494501062
3,2022-01-06,133102.04304431102,19114.299087426425,4241.599254577813,4516.749838711996,18645.72073752638,3701.8699646126815,201477.47460111062,384799.7565282769,258774.80517891375
4,2022-01-07,159006.3897255158,16439.713255418694,5539.028233730702,6858.9439539101095,17327.079776112423,3708.3039368441,246039.06688080548,454918.5257623373,336305.01098139107
5,2022-01-10,164328.6172593677,22076.09431384124,6067.86256325504,5291.5550446562365,24220.95424474934,3106.6347529155632,268239.41437126626,493331.1325500513,362672.5178580319
6,2022-01-11,129411.13339233832,16428.69875774369,4009.337397001873,3936.7160384745775,13734.54711044211,4492.783872974073,284293.07221847784,456306.2887874525,338756.40175197524
7,2022-01-12,198358.01520036347,16809.302165928126,3865.5800392209535,1766.9062905420628,23953.632696925313,7135.464734831273,283112.9695731857,535001.870700997,396592.16277763137
8,2022-01-13,168758.32311864063,17985.34555803233,6350.647759627663,9541.88936842469,21433.80760121683,4750.316375458317,272112.78657095117,500933.1163523516,319873.62697756005
9,2022-01-14,125800.22521900217,21866.793940165648,6565.424960730808,1011.980313513874,23000.78243927194,10849.96718639058,261877.10519303917,450972.2792521142,307140.74911615095
10,2022-01-17,163618.2153352919,17497.299942045036,20004.414121504167,4349.508730349067,6058.552354826096,3205.999672650436,271834.58817693195,486568.5783335987,337723.2330492294
11,2022-01-18,154150.55660987034,17671.037727026353,9588.404405280613,1405.1561901765588,24950.497078497137,3393.423126201328,257519.14166395896,468678.2168010113,299600.5218205166
12,2022-01-19,163687.3919333431,16512.687820360654,6555.180083229894,6308.060203287061,24017.02113669617,8203.517598888951,240938.29574762736,466222.1545234332,272546.0309954383
13,2022-01-20,126346.21419394508,27481.762842658016,10860.604245123273,1454.4216054843673,24504.81194422266,9207.760100032783,255672.29881891535,455527.8737503815,293677.2603174283
14,2022-01-21,138022.55646948254,16974.208954180605,5174.722831283101,2051.8482574461477,21580.70884267131,6032.090702565831,260237.35538052666,450073.49143815617,320731.65927331086
15,2022-01-24,129515.16887301709,18197.524923646368,14017.707455139498,3589.801541958847,23595.257085416582,8437.059672935757,282118.1852444952,479470.70479660935,309516.0633818006
16,2022-01-25,125185.9475272938,16503.857698274798,5910.026426274415,295.25038590334384,20225.49887169553,3759.597991072438,287401.5356468287,459281.714547343,306310.35939605196
17,2022-01-26,92762.14104422482,34586.98494761574,7748.096132492301,1408.4186076300427,24983.070910033297,6088.93714880977,301003.7753337277,468581.42412453366,319438.5338308773
18,2022-01-27,87403.04424807441,17366.524760312437,964.2816339244936,911.3333763072148,19952.349615937408,1014.8991518646448,303440.40778107155,431052.8405674922,295399.21500422014
19,2022-01-28,92022.87009143102,40695.68722046109,9653.729518463459,181.84948223624727,23091.9864052682,6998.745338936171,316469.89340617176,489114.76146296796,337643.23317244364
20,2022-01-31,105369.7574277591,49890.778639832766,4885.509699796353,3690.645338384403,11620.787448280165,3596.1135708393094,335276.3488170999,514329.940941992,370621.88135914516
21,2022-02-01,102864.0341497182,15330.51141124972,12592.778758778843,332.3764405652597,20601.849193899976,1839.702530376761,354430.3003988991,507991.5528834879,368606.82711453614
22,2022-02-02,96407.16855683854,15770.927245377281,8847.063432676594,1707.9180654103643,14606.875188788163,1801.8355442430159,334832.2052032469,473973.99323658086,361200.67147129256
23,2022-02-03,113211.57326967211,17623.05980948844,5864.091357454527,4978.671247051571,12024.339263550857,1283.3359464087807,322616.0659603083,477601.13685393456,339101.10099493206
24,2022-02-04,101008.64754193863,14439.215222284121,10435.11928660886,12736.148865684145,24443.47552107441,11318.512200393005,280059.603222605,454440.7218605882,300306.6714980058
25,2022-02-07,98127.7083826412,12144.200813427222,12793.606302491215,1283.7574955998869,22504.472791767017,11726.526498695841,246538.6437999159,405118.9160845383,278798.2840128134
26,2022-02-08,101338.22124343253,12171.11774554635,5038.896828499992,1551.1291648452748,18328.877234857457,1661.6569074396125,271927.98259434087,412017.8817189621,315952.6155151727
27,2022-02-09,167374.62605060346,18153.07809325898,4753.819912937898,5547.85191489239,16638.230757954952,3853.3797026750212,280065.61550778185,496386.6019401045,356735.19976493024
28,2022-02-10,160707.2766296124,13539.537500602904,2011.8034256454414,2358.973581986794,20987.953938600498,4347.8422790370705,278867.6693316579,482821.056687143,335587.00743777654
29,2022-02-11,127852.02335128162,11328.979011496836,2330.601084661849,5727.786212361403,20358.20114756418,1774.9966849081588,243616.21658622375,412988.8040784978,304303.2756035764
30,2022-02-14,75311.54130920961,10720.934178465815,4143.349714306666,1928.7458954859114,21624.613099624363,2279.5238920706706,206015.01550104516,322023.7235902082,256852.75037940184
31,2022-02-15,70404.27528001748,10487.927899933304,8153.348063802587,497.14453799615575,21442.76751180876,5071.587027655389,150321.4128837218,266378.4632049355,190563.79080694934
32,2022-02-16,158318.3728727727,10888.922967863627,4962.531542919326,857.9716067848964,24146.15208339194,2102.3544591556456,135956.69101818718,337232.9965510753,264752.93207245873
33,2022-02-17,72993.54173925467,11653.38153345502,1544.993861472039,738.2451516802722,24425.54530209199,1088.233684148777,121676.47426390927,234120.41553601203,155987.70785270387
34,2022-02-18,54311.09487899898,9605.031819723396,2897.4030365717053,655.9707591213458,24265.80907402685,998.3823342507952,115528.83882061887,208262.53072331194,140890.2909117614
35,2022-02-21,66501.61119405762,12233.087259367234,2750.1344619922015,1118.1342765921206,12849.32100234184,3508.033853430861,96293.30945050818,195253.63149829005,114729.41077223666
36,2022-02-22,68388.46258376574,8131.632426191259,1047.7736901298333,1277.4425440708094,22023.87898593585,5119.704906141858,84103.55275611638,190092.44789235172,118240.70013820917
37,2022-02-23,74979.02856351434,21042.236629955627,510.2162107959163,286.2064063506119,24328.07784339793,2297.790513728191,67059.98891326264,190503.54508100526,118804.75957856527
38,2022-02-24,61188.91739065859,11059.001799938616,1385.3339397783263,699.4435832759058,24695.22485607631,1120.6292328471634,59669.76835978896,159818.31916236388,76775.06628590875
39,2022-02-25,118149.85261405846,21789.639073320428,5173.298087490075,482.8285666118664,14232.25256761,3485.1950899350963,53990.416630421765,217303.48262944768,154865.02570698335
40,2022-02-28,85752.21628754107,9661.440608517421,1102.5237776130457,248.2893242104076,20772.537636857403,1264.6558456005137,52580.02260775734,171381.68608809722,117417.26345808539
41,2022-03-01,88576.09172190074,11406.218175320992,796.9708434063605,1733.212415719251,22864.86169064901,5079.64838948391,55523.12394910485,185980.1271855851,113569.04361049502
42,2022-03-02,74328.94748760143,11221.68260307624,237.89095730886174,106.16895046788706,20570.977831148462,14832.443737260344,85092.42823785503,206390.53980471828,127948.23795382034
43,2022-03-03,60585.69840075536,10174.128295313074,302.89394793159363,1184.301223476371,16185.946366241264,1887.9834726039985,72347.71824817423,162668.6699544959,105776.89344173958
44,2022-03-04,77694.4808271221,12312.908353311575,231.17327132007392,0.0,23771.762497195294,2063.9278316321283,66009.07436087029,182083.32714145147,120430.75319283849
